index,Major_code,Major,Major_category,Grad_total,Grad_sample_size,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Grad_unemployment_rate,Grad_median,Grad_P25,Grad_P75,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed,Nongrad_unemployment_rate,Nongrad_median,Nongrad_P25,Nongrad_P75,Grad_share,Grad_premium
81,1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,5032,98,2758,2276,261,0.086452468,54000.0,45000,81000.0,8092,5978,4707,239,0.038442979,55000.0,39000,78000.0,0.383419689,-0.018181818
82,2414,MECHANICAL ENGINEERING,Engineering,347342,7285,266923,234162,9810,0.035449332,100000.0,75000,138000.0,547538,395914,348301,16897,0.040931564,82000.0,60000,110000.0,0.388143662,0.219512195
83,3402,HUMANITIES,Humanities & Liberal Arts,27477,450,19264,13799,1215,0.059329069,65000.0,47000,100000.0,43298,27799,18630,2398,0.079411862,47000.0,30625,73000.0,0.388230307,0.382978723
84,1104,FOOD SCIENCE,Agriculture & Natural Resources,14521,266,10857,8074,370,0.032956266,72000.0,50000,110000.0,22853,16298,12431,681,0.040108369,63000.0,40000,92000.0,0.388532135,0.142857143
85,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,86791,1758,66432,56355,2669,0.038624622,98000.0,70000,135000.0,131402,96312,82220,5047,0.049793309,76000.0,50000,104000.0,0.397771698,0.289473684
86,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,3940,66,2673,1905,79,0.028706395,105000.0,75000,140800.0,5941,3797,3165,0,0.0,87000.0,57000,125000.0,0.398745066,0.206896552
87,5206,SOCIAL PSYCHOLOGY,Psychology & Social Work,7007,119,4796,3509,312,0.061080658,71000.0,48800,100000.0,10307,6486,4928,660,0.092359362,49000.0,36300,75000.0,0.404701398,0.448979592
88,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,10801,197,6739,6332,222,0.03189197,102000.0,70000,145000.0,15759,10596,9044,449,0.040651879,100000.0,60000,128000.0,0.406664157,0.02
89,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,4810,103,3880,3045,445,0.102890173,98000.0,65000,131500.0,6996,5711,5020,150,0.025592902,92000.0,53000,136000.0,0.407419956,0.065217391
90,6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,56666,892,40441,27668,2293,0.053657509,65000.0,45000,93000.0,82188,54192,35955,3731,0.0644131,45500.0,31000,73000.0,0.408097714,0.428571429
91,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,51566,848,39185,28576,1100,0.027305449,60000.0,41000,90000.0,72590,49431,34327,2326,0.044940781,45000.0,33000,62000.0,0.415332324,0.333333333
92,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,64284,1172,54355,42137,1226,0.022057897,70000.0,52000,100000.0,90171,69217,50755,3592,0.04933456,52000.0,37000,75000.0,0.416198893,0.346153846
93,4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,32549,600,26153,18746,1786,0.063924979,70000.0,46000,115000.0,45113,34373,24209,2680,0.072328826,50000.0,32000,72000.0,0.41911102,0.4
94,4002,NUTRITION SCIENCES,Health,40740,641,31411,21321,773,0.024018146,65000.0,48400,100000.0,56400,38530,26254,2503,0.060999683,50000.0,35000,70000.0,0.419394688,0.3
95,5501,ECONOMICS,Social Science,517614,9822,386002,315920,17668,0.043768425,100000.0,63000,175000.0,700637,496450,409200,29246,0.055632913,70000.0,44000,111000.0,0.424882885,0.428571429
96,2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,202105,3061,131845,92639,3782,0.027885303,65000.0,50000,85000.0,270939,185279,133212,8119,0.041980786,50000.0,35000,68000.0,0.427243555,0.3
97,6110,COMMUNITY AND PUBLIC HEALTH,Health,35543,638,28112,22384,874,0.030152487,68500.0,48000,100000.0,47568,36104,27108,1804,0.047588899,50000.0,35000,70000.0,0.427656989,0.37
98,2408,ELECTRICAL ENGINEERING,Engineering,482767,10070,371723,324080,13974,0.036230513,106000.0,80000,145000.0,645159,471850,413582,24278,0.048934952,90000.0,62000,118000.0,0.428013008,0.177777778
99,4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,165460,3112,115266,90580,3926,0.032938452,48000.0,32000,69000.0,220424,154911,116980,6305,0.039109021,40000.0,28000,58000.0,0.428781706,0.2
100,5006,OCEANOGRAPHY,Physical Sciences,7315,197,5501,5642,125,0.022218272,90000.0,50000,114000.0,9739,7311,6029,419,0.054204398,60000.0,44000,97000.0,0.428931629,0.5
101,2399,MISCELLANEOUS EDUCATION,Education,166626,2091,86566,59620,3106,0.034637345,61000.0,46200,83000.0,221750,122937,89949,4880,0.038179585,50000.0,36000,72000.0,0.42903269,0.22
102,2402,BIOLOGICAL ENGINEERING,Engineering,21515,433,16810,13353,695,0.039702942,80000.0,50000,120000.0,28562,21509,17822,1118,0.049409997,65000.0,40000,93000.0,0.429638357,0.230769231
103,5401,PUBLIC ADMINISTRATION,Law & Public Policy,42661,750,31985,27682,2000,0.058849492,75000.0,50000,110000.0,53242,37006,30763,2609,0.065858892,58000.0,40000,86000.0,0.444834885,0.293103448
104,2304,ELEMENTARY EDUCATION,Education,1105607,15410,668185,438791,13889,0.020362893,55000.0,44000,70000.0,1379686,762114,476855,28714,0.03630878,40000.0,32000,51000.0,0.444859821,0.375
105,5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work,13718,221,9546,7366,453,0.04530453,75000.0,50000,106000.0,16994,11009,8347,1044,0.08661744,63000.0,41000,85000.0,0.446665798,0.19047619
106,3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,3465,29,1248,1040,72,0.054545455,74000.0,37900,123000.0,4278,1650,1671,187,0.101796407,64000.0,39000,90000.0,0.447500969,0.15625
107,2300,GENERAL EDUCATION,Education,1128727,13846,698049,507406,24083,0.033349858,58000.0,45000,75000.0,1388324,805371,573139,35180,0.041853498,44000.0,32000,60000.0,0.448432312,0.318181818
108,6002,MUSIC,Arts,205013,2759,150394,88436,6507,0.041472011,60000.0,41000,85000.0,251339,174414,109664,8834,0.048207893,46400.0,32000,70000.0,0.449243128,0.293103448
109,2314,ART AND MUSIC EDUCATION,Education,183239,2679,123145,80953,3600,0.028403487,59000.0,45000,75000.0,218268,143673,90398,5955,0.039798701,44000.0,32200,57000.0,0.456378096,0.340909091
110,2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,57960,853,40277,27836,2157,0.05083188,65000.0,42000,98000.0,68993,41522,28718,3414,0.07597472,49000.0,31000,70000.0,0.456546911,0.326530612
111,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,17051,335,13042,10727,705,0.051283916,92000.0,70000,120000.0,20152,13729,11755,880,0.06023684,78000.0,55000,105000.0,0.458323254,0.179487179
112,5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,107888,1971,83632,59545,4374,0.049701157,65000.0,45100,100000.0,126116,90622,62339,6369,0.065665887,45000.0,30000,70000.0,0.461051948,0.444444444
113,5404,SOCIAL WORK,Psychology & Social Work,260824,4537,203983,153941,7963,0.037570891,53000.0,40000,70000.0,301611,211272,157896,12645,0.056471818,40000.0,30000,54000.0,0.463740699,0.325
114,3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,881433,13688,598806,420936,25330,0.040584103,67000.0,46600,100000.0,1018267,650188,457320,45414,0.065287334,50000.0,34600,78000.0,0.463985366,0.34
115,2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,72079,1122,46866,32536,896,0.018759683,55000.0,43000,69000.0,82941,54460,35610,1804,0.032063131,40000.0,30000,52000.0,0.464965811,0.375
116,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,90232,1814,66748,54643,1881,0.027408238,84000.0,55000,125000.0,103388,72682,57959,4848,0.062530633,66000.0,43000,100000.0,0.466026237,0.272727273
117,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,152238,2872,124688,97680,3174,0.024823638,111000.0,85000,140000.0,173397,120500,88001,4110,0.032982907,107000.0,80000,125000.0,0.46751117,0.037383178
118,2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,46826,784,31558,23188,1436,0.043523065,68000.0,45000,100000.0,52934,31878,22253,2111,0.062108329,47000.0,32000,76000.0,0.469386528,0.446808511
119,5200,PSYCHOLOGY,Psychology & Social Work,1184158,20547,915341,666630,35718,0.03755603,64000.0,45000,97000.0,1322161,938016,689146,64552,0.064386655,46000.0,32200,70000.0,0.472468987,0.391304348
120,1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,84409,1573,65878,48598,3091,0.044817237,75000.0,50000,120000.0,90834,65609,46517,4630,0.065917795,50000.0,34600,75000.0,0.481668312,0.5
121,5000,PHYSICAL SCIENCES,Physical Sciences,7979,141,5292,4180,208,0.037818182,80000.0,54000,135000.0,8495,5676,4945,238,0.04024349,60000.0,38000,89000.0,0.484338958,0.333333333
122,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,11739,254,8657,7488,237,0.026647178,82000.0,52000,110000.0,12457,9847,8754,384,0.037532988,60000.0,39000,90000.0,0.485162837,0.366666667
123,2405,CHEMICAL ENGINEERING,Engineering,168136,3306,124544,106097,4997,0.03857466,102000.0,70000,150000.0,173332,120146,103629,5413,0.043111207,90000.0,62000,123000.0,0.492391674,0.133333333
124,2401,AEROSPACE ENGINEERING,Engineering,58511,1240,42632,39834,1225,0.027931687,107000.0,80000,140000.0,60077,41023,36578,1656,0.038801284,85000.0,60000,110000.0,0.493397308,0.258823529
125,6402,HISTORY,Humanities & Liberal Arts,645414,11486,454797,347910,18445,0.038975831,80000.0,51000,125000.0,657090,439435,338441,28790,0.061487533,52000.0,35000,83000.0,0.495517864,0.538461538
126,5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science,14077,306,10916,9039,551,0.048050929,73000.0,52000,105000.0,14312,10935,8899,653,0.056351398,54000.0,40000,81000.0,0.495861073,0.351851852
