Rank,City,Population,Area KM2,Area   M2,Density KM2,Density  M2,Country,Year
48.,General Mariano Alvarez,"172,433",9,4,"18,344","47,511", Filipinler *,2020  [1] 2013 [39]
49.,Monako,"36,950",2,1,"18,292","47,377", Monako *,-
50.,Les Lilas,"23,045",1,0,"18,290","47,370", Fransa *,2020 [42]
51.,Hoböken,"60,417",3,1,"18,225","47,204", Amerika Birleşik Devletleri *,2020 [34]
52.,Giv'atayim,"58,500",3,1,"18,056","46,764", İsrail *,2019 [43]
53.,Quezon şehir,"2,960,048",166,64,"17,882","46,315", Filipinler *,2020  [1] [3]
54.,Vanveler,"27,729",2,1,"17,775","46,037", Fransa *,2020 [44]
55.,Asnières-sur-Seine,"85,191",5,2,"17,674","45,777", Fransa *,2020 [45]
56.,Ciudad Nezahualcóyotl,"1,110,565",63,24,"17,503","45,334", Meksika *,2010 [46]
57.,Suginami,"582,065",34,13,"17,089","44,262", Japonya *,-
58.,Santa Coloma de Gramenet,"118,821",7,3,"16,974","43,964", İspanya *,2019 [47]
59.,Modi'in Illit,"80,894",5,2,"16,748","43,378", İsrail *,2022
60.,Çittagong,"2,582,401",155,60,"16,661","43,151", Bangladeş *,2018 [48]
61.,Sint-Jans-Molenbeek,"97,462",6,2,"16,547","42,857", Belçika *,-
62.,Seul,"9,962,393",605,234,"16,461","42,634", Güney Kore *,2019 [49] 2013 [50]
63.,Kore mahallesi,"124,281",7-May,2-Sep,"16,452","42,610", Amerika Birleşik Devletleri,2020
64.,Charenton-le-Pont,"30,374",2,1,"16,418","42,524", Fransa *,2020 [51]
65.,La Garenne-Colombes,"29,169",2,1,"16,387","42,443", Fransa *,2020 [52]
66.,Schaerbeek,"133,309",8,3,"16,377","42,417", Belçika *,-
67.,Neuilly-sur-Seine,"60,361",4,1,"16,183","41,913", Fransa *,2020 [53]
68.,Issy-les-Moulineaux,"68,451",4,2,"16,106","41,715", Fransa *,2020 [54]
69.,Barselona,"1,636,732",101,39,"16,149","41,827", İspanya *,2021 [55]
70.,Cakarta,"10,560,000",662,255,"15,964","41,346", Endonezya *,2019 [56] 2020 [57]
71.,nazikçe,"18,605",1,0,"15,767","40,836", Fransa *,2020 [58]
72.,Kahire,"9,539,673",606,234,"15,742","40,772", Mısır *,2019 [59] 2017 [60]
73.,Cimahi,"568,400",40,16,"14,080","36,467", Endonezya *,2020
74.,Senglea,"2,820",0,0,"14,100","36,519", Malta *,2013
75.,"Rosario, Cavite","110,807",8,3,"14,561","37,712", Filipinler *,2020  [1] 2013 [39]
76.,Mandaue,"364,116",25,10,"14,461","37,453", Filipinler *,2020  [1] 2013 [39]
77.,bacoor,"664,625",46,18,"14,395","37,284", Filipinler *,2020  [1] 2013 [39]
78.,"San Pedro, Laguna","326,001",24,9,"13,555","35,108", Filipinler *,2020  [1] 2013 [39]
